1 Section 01-17 se
constitution -(005 Equality is guaranteed by the Constitution.)	憲法
qualification -(360 Proper qualifications are required for the position; computer literacy is a must.)	資格、能力

enclose ... -(361 Enclose your resume in this envelope and submit it to the personnel department.)	...を同封する

envelope -(361 Enclose your resume in this envelope and submit it to the personnel department.)	封筒

personnel -(361 Enclose your resume in this envelope and submit it to the personnel department.)	社員、職員

at best -(362 It's optimistic of you to believe that things will work out. At best there's a fifty-fifty chance.)	よくても、せいぜい

optimistic -(362 It's optimistic of you to believe that things will work out. At best there's a fifty-fifty chance.)	(形)楽観的な

work out -(362 It's optimistic of you to believe that things will work out. At best there's a fifty-fifty chance.)	うまくいく

registration -(363 Registration forms can be obtained free of charge.)	登録

inquiry -(365 For further inquiries, please feel free to contact us toll-free at 1-800-555-1212.)	問合せ、質問

cannnot make heads or tails of ... -(367 He gave instructions to the trainees, but they couldn't make heads or tails of them.)	...がさっぱりわからない

at one time -(368 You can't do two things at one time! It's out of the question. Do them one by one.)	同時に、一度に

mind your own business -(369 "Bob, don't disturb her. Mind your own business," he whispered.)	おせっかいはやめろ

lose one's temper -(370 If you persist in bothering her like that, she'll lose her temper.)	かっとなる

persist in ... -(370 If you persist in bothering her like that, she'll lose her temper.)	しつこく...する

resist (...) -(371 He was so childish that he couldn't resist temptation.)	(...を)我慢する

temptation -(371 He was so childish that he couldn't resist temptation.)	誘惑

talk back (to ...) -(373 There's no point in talking back to Nick. He is a "dictator," so to speak.)	(...に)口答えをする

there's no point in doing -(373 There's no point in talking back to Nick. He is a "dictator," so to speak.)	(定)doingするのは無駄だ

look up to ... -(375 "You despise Nick, don't you?" "On the contrary! I look up to him.")	...を尊敬する

on the contrary -(375 "You despise Nick, don't you?" "On the contrary! I look up to him.")	それどころか

arouse ... -(376 His constant insults aroused her anger.)	(動)...を呼び起こす

insult -(376 His constant insults aroused her anger.)	侮辱

be fed up (with ...) -(377 I'm fed up with just shuffling papers and pouring coffee. I've made up my mind to quit!)	(...に)うんざりしている

make up one's mind (to do) -(377 I'm fed up with just shuffling papers and pouring coffee. I've made up my mind to quit!)	(doすると)決心する

get by (on...) -(378 In reality, many people have difficulty making ends meet. How can you get by on 100,000 yen a month?)	(...で)何とか生活していく

make ends meet -(378 In reality, many people have difficulty making ends meet. How can you get by on 100,000 yen a month?)	何とかやりくりする

A might[may] well do -(379 Female clerks may well complain about their routines, which are not challenging at all.)	Aがdoするのももっともだ

challenging -(379 Female clerks may well complain about their routines, which are not challenging at all.)	(形)やりがいのある

...-fold -(380 Thanks to a fundamental restructuring, our surplus has swelled threefold.)	(尾)...倍の[に]

surplus -(380 Thanks to a fundamental restructuring, our surplus has swelled threefold.)	黒字

swell (数量) -(380 Thanks to a fundamental restructuring, our surplus has swelled threefold.)	(数量が)増大する

absurd -(381 Many people today think of loyalty to a company as an absurd notion.)	(形)ばかげた

loyalty -(381 Many people today think of loyalty to a company as an absurd notion.)	忠誠

notion -(381 Many people today think of loyalty to a company as an absurd notion.)	考え

all the way from ... -(382 I have to commute all the way from a distant suburb. I'm sick of it!)	...からはるばる

commute -(382 I have to commute all the way from a distant suburb. I'm sick of it!)	通勤する

distant -(382 I have to commute all the way from a distant suburb. I'm sick of it!)	(形)遠い

suburb -(382 I have to commute all the way from a distant suburb. I'm sick of it!)	郊外

devote A to B -(384 After retirement, Teresa devoted herself to caring for orphans.)	AをBに捧げる

orphan -(384 After retirement, Teresa devoted herself to caring for orphans.)	孤児

in need -(385 For the sake of children in need, we cooperated to collect donations.)	(形)困っている

give ... away -(386 The charity is named after a man who gave away some two billion yen.)	...をただであげる、...を寄付する

autobiography -(387 His autobiography was released today and was sold out by noon.)	自叙伝

integrity -(388 Ted, who is often referred to as a man of integrity, is going to run for mayor.)	高潔さ、誠実さ

run for ... -(388 Ted, who is often referred to as a man of integrity, is going to run for mayor.)	...に立候補する

municipal -(390 The municipal council should concentrate more on specific issues.)	市[町]の

specific -(390 The municipal council should concentrate more on specific issues.)	具体的な

force A to do -(391 It is the case that those who live on a pension are forced to lead a hard life.)	Aにdoするように強いる

it is the case that ~ -(391 It is the case that those who live on a pension are forced to lead a hard life.)	~ということは事実だ

pension -(391 It is the case that those who live on a pension are forced to lead a hard life.)	年金

politician -(391 It is the case that those who live on a pension are forced to lead a hard life.)	政治家

associate A with B -(393 We tend to associate politicians with hypocrisy.)	AからBを連想する

hypocrisy -(393 We tend to associate politicians with hypocrisy.)	偽善

enhance ... -(394 They are primarily concerned with exploiting us, not with enhancing our living standards.)	...を高める

exploit ... -(394 They are primarily concerned with exploiting us, not with enhancing our living standards.)	...から搾取する

conservative -(395 The man once exerted a dominant influence on the conservative party, but now his power is diminishing.)	保守的な

diminish -(395 The man once exerted a dominant influence on the conservative party, but now his power is diminishing.)	弱まる

dominant -(395 The man once exerted a dominant influence on the conservative party, but now his power is diminishing.)	支配的な

exert ... -(395 The man once exerted a dominant influence on the conservative party, but now his power is diminishing.)	...を行使する

spokesperson -(396 The spokesperson refused to make any comment, saying, "It's under investigation.")	報道担当者

pull strings -(397 The police say there's someone pulling strings behind the scenes.)	糸を引く、操る

bureaucrat -(398 The executives entertained the bureaucrats at ryotei, or exclusive Japanese restaurants, hoping for something in return.)	官僚

exclusive -(398 The executives entertained the bureaucrats at ryotei, or exclusive Japanese restaurants, hoping for something in return.)	排他[閉鎖]的な、高級な

in return (for ...) -(398 The executives entertained the bureaucrats at ryotei, or exclusive Japanese restaurants, hoping for something in return.)	(...の)お返しとして

flatly -(399 His secretary flatly denied leaking any confidential information.)	(副)きっぱりと

leak (...) -(399 His secretary flatly denied leaking any confidential information.)	...を漏らす

dare (to) do ... -(400 No one dares to contradict his/her employer for fear of being fired.)	(否定文で)思い切ってdoする

dignity -(401 He sacrificed his promising career to retain his dignity.)	尊厳

retain ... -(401 He sacrificed his promising career to retain his dignity.)	...を維持する

sacrifice ... -(401 He sacrificed his promising career to retain his dignity.)	...を犠牲にする

fate -(402 I might as well kill myself as reconcile myself to my fate.)	(名)運命

might as well doA as doB -(402 I might as well kill myself as reconcile myself to my fate.)	doBするくらいならdoAするほうがましだ

reconcile oneself to ... -(402 I might as well kill myself as reconcile myself to my fate.)	(動)...を仕方なく受け入れる

be about to do -(403 He was about to commit suicide by swallowing poison when he thought better of it.)	doするところである

commit ... -(403 He was about to commit suicide by swallowing poison when he thought better of it.)	...(犯罪・過失)を犯す

suicide -(403 He was about to commit suicide by swallowing poison when he thought better of it.)	(名)自殺

think better of ... -(403 He was about to commit suicide by swallowing poison when he thought better of it.)	...をしないことにする


5 Section 34-36 se
linger (on) -(404 The vague rumor proved to be false. Nevertheless, some skepticism lingers on.)	(動)まだ続いている[残っている]

skepticism -(404 The vague rumor proved to be false. Nevertheless, some skepticism lingers on.)	(名)疑い

vague -(404 The vague rumor proved to be false. Nevertheless, some skepticism lingers on.)	曖昧な、漠然とした

bribe -(405 A senior official is suspected of accepting bribes from a company, but there isn't sufficient evidence to arrest him.)	賄賂

senior -(405 A senior official is suspected of accepting bribes from a company, but there isn't sufficient evidence to arrest him.)	上級の

suspect A of B -(405 A senior official is suspected of accepting bribes from a company, but there isn't sufficient evidence to arrest him.)	AにBの容疑をかける

corruption -(406 Jason, who was in charge of the project, was dismissed for corruption.)	汚職、不正、贈賄

dismiss ... -(406 Jason, who was in charge of the project, was dismissed for corruption.)	...を解雇[解任]する

be involved in ... -(407 To my knowledge, he has not been involved in the fraud scheme.)	...に巻き込まれる、...にかかわる

fraud -(407 To my knowledge, he has not been involved in the fraud scheme.)	不正、詐欺

scheme -(407 To my knowledge, he has not been involved in the fraud scheme.)	企み、陰謀

a pile of ... -(408 They found out the truth while examining a pile of relevant documents.)	(山ほど)たくさんの...

examine ... -(408 They found out the truth while examining a pile of relevant documents.)	...を調べる

relevant (to ...) -(408 They found out the truth while examining a pile of relevant documents.)	(形)(...と)関連性のある

come to light -(409 During the trial it came to light that they had been covering up illegal transactions for decades.)	明るみに出る

cover ... up -(409 During the trial it came to light that they had been covering up illegal transactions for decades.)	...を隠す[隠ぺいする]

decade -(409 During the trial it came to light that they had been covering up illegal transactions for decades.)	(名)10年(間)

transaction -(409 During the trial it came to light that they had been covering up illegal transactions for decades.)	商取引

trial -(409 During the trial it came to light that they had been covering up illegal transactions for decades.)	裁判、審判

detective -(410 The detective took down his testimony on the spot, word for word.)	探偵、刑事

on the spot -(410 The detective took down his testimony on the spot, word for word.)	その場で、直ちに

take ... down -(410 The detective took down his testimony on the spot, word for word.)	...(人の言葉)を書き取る

testimony -(410 The detective took down his testimony on the spot, word for word.)	証言

word for word -(410 The detective took down his testimony on the spot, word for word.)	一言一句違わずに

conscience -(411 For the first time in my life, I felt a pang of conscience, but there was no other way out.)	良心

pang of ... -(411 For the first time in my life, I felt a pang of conscience, but there was no other way out.)	(名)(突然襲う精神的な)...の苦しみ

way out -(411 For the first time in my life, I felt a pang of conscience, but there was no other way out.)	逃れる道[方法]

haunt ... -(412 I'm still haunted by a vivid nightmare I had last night.)	...の心[脳裏]に付きまとう

vivid -(412 I'm still haunted by a vivid nightmare I had last night.)	鮮明な

by and large -(413 By and large, reporters don't hesitate to intrude on one's privacy.)	概して

intrude (on ...) -(413 By and large, reporters don't hesitate to intrude on one's privacy.)	(...を)侵害する

manuscript -(414 The author revised his manuscript over and over again.)	原稿

over and over (again) -(414 The author revised his manuscript over and over again.)	何度も(何度も)繰り返して

be second to none -(415 He is second to none when it comes to finding fault with others.)	(動)何にも劣らない

when it comes to ... -(415 He is second to none when it comes to finding fault with others.)	...のこととなると

criticism -(416 On the whole, the elite are not sensitive to criticism.)	批判、非難

elite -(416 On the whole, the elite are not sensitive to criticism.)	エリート(たち)

on the whole -(416 On the whole, the elite are not sensitive to criticism.)	概して

addict -(417 When a tabloid revealed that he was a drug addict, his reputation was all but ruined.)	中毒者

all but -(417 When a tabloid revealed that he was a drug addict, his reputation was all but ruined.)	(副)ほとんど

ruin ... -(417 When a tabloid revealed that he was a drug addict, his reputation was all but ruined.)	...を失墜させる

tabloid -(417 When a tabloid revealed that he was a drug addict, his reputation was all but ruined.)	大衆ゴシップ紙

flaw (in ...) -(418 They considered every aspect of the defense program and pointed out numerous flaws.)	(名)(...の)欠陥、問題箇所

numerous -(418 They considered every aspect of the defense program and pointed out numerous flaws.)	多くの

engage in ... -(419 We will not tolerate anyone who engages in terrorism.)	(動)...にかかわる

tolerate ... -(419 We will not tolerate anyone who engages in terrorism.)	...に寛容な態度を取る

confine A to B -(420 The notorious rebel was ultimately captured and confined to jail.)	AをBに閉じ込める

notorious -(420 The notorious rebel was ultimately captured and confined to jail.)	悪名高い

ultimately -(420 The notorious rebel was ultimately captured and confined to jail.)	最終的には

put ... down -(421 Troops were swiftly called in to put down the riot.)	...を鎮圧する

riot -(421 Troops were swiftly called in to put down the riot.)	暴動

swiftly -(421 Troops were swiftly called in to put down the riot.)	素早く

troop -(421 Troops were swiftly called in to put down the riot.)	軍隊

appeal to ... -(422 We should appeal to reason instead of resorting to violence.)	...に訴える

resort to ... -(422 We should appeal to reason instead of resorting to violence.)	(動)...という手段を取る

adopt ... -(423 I suggest we adopt flexible tactics for the moment.)	...を採用する

for the moment -(423 I suggest we adopt flexible tactics for the moment.)	(副)今のところは

armed forces -(424 The armed forces succeeded in occupying the entire territory.)	全軍

succeed in ... -(424 The armed forces succeeded in occupying the entire territory.)	(動)...に成功する

territory -(424 The armed forces succeeded in occupying the entire territory.)	領土

hold out -(425 Under the circumstances, the enemy has no choice but to surrender. They can't hold out any longer.)	持ちこたえる

not ... any longer -(425 Under the circumstances, the enemy has no choice but to surrender. They can't hold out any longer.)	(副)これ以上...ない

surrender (to ...) -(425 Under the circumstances, the enemy has no choice but to surrender. They can't hold out any longer.)	(...に)降伏する

hostage -(426 Sooner or later, the hostages will be set free.)	人質

deprive A of B -(427 Under the reign of tyranny, innocent people were deprived of their citizenship.)	(動)AからBを剥奪する

reign -(427 Under the reign of tyranny, innocent people were deprived of their citizenship.)	支配

tyranny -(427 Under the reign of tyranny, innocent people were deprived of their citizenship.)	専制政治

be reluctant to do -(428 Some soldiers were reluctant to obey the commands.)	doすることに気が進まない

be bound to do -(429 His regime is bound to collapse.)	きっとdoする

collapse -(429 His regime is bound to collapse.)	(動)崩壊する

regime -(429 His regime is bound to collapse.)	政権

ally -(430 The allies condemned the invasion as a violation of UN resolutions.)	同盟国

condemn ... -(430 The allies condemned the invasion as a violation of UN resolutions.)	...を厳しく非難する

invasion -(430 The allies condemned the invasion as a violation of UN resolutions.)	侵略

resolution -(430 The allies condemned the invasion as a violation of UN resolutions.)	決議

violation -(430 The allies condemned the invasion as a violation of UN resolutions.)	違反

civil war -(431 We cannot rule out the possibility that civil war will break out in that country.)	内戦、内乱

rule ... out -(431 We cannot rule out the possibility that civil war will break out in that country.)	...を排除する

colony -(432 The colony declared independence and became a republic.)	植民地

declare ... -(432 The colony declared independence and became a republic.)	...を宣言する

republic -(432 The colony declared independence and became a republic.)	共和国

erect ... -(433 An immense monument was erected in honor of the noble patriot.)	...を建てる

immense -(433 An immense monument was erected in honor of the noble patriot.)	巨大な、莫大な

in honor of ... -(433 An immense monument was erected in honor of the noble patriot.)	...に敬意を表して

monument -(433 An immense monument was erected in honor of the noble patriot.)	記念碑

noble -(433 An immense monument was erected in honor of the noble patriot.)	崇高な、高潔な

patriot -(433 An immense monument was erected in honor of the noble patriot.)	愛国者

deceased -(434 He got down on his knees and prayed for the souls of the deceased.)	故人(たち)

imperial -(435 The Supreme Court is located near the Imperial Palace.)	帝国の、天皇の

palace -(435 The Supreme Court is located near the Imperial Palace.)	宮殿

abortion -(436 The pro-choice group protested against a ban on abortion.)	妊娠中絶

pro-choice -(436 The pro-choice group protested against a ban on abortion.)	(形)中絶(合法化に)賛成の

bitter -(437 Senator Ford remained neutral in the bitter controversy.)	激しい

controversy -(437 Senator Ford remained neutral in the bitter controversy.)	論争、議論

senator -(437 Senator Ford remained neutral in the bitter controversy.)	上院議員

cope (with ...) -(438 Ford has been in a difficult situation all week long. He is no longer capable of coping with it.)	(...に)うまく対処する

no longer... -(438 Ford has been in a difficult situation all week long. He is no longer capable of coping with it.)	(副)もはや...ない

broadcast (...) -(439 The summit talks are to be broadcast simultaneously throughout the world.)	(...を)放送する

simultaneously -(439 The summit talks are to be broadcast simultaneously throughout the world.)	同時に

throughout the world -(439 The summit talks are to be broadcast simultaneously throughout the world.)	(副)世界中で

dialogue -(440 Diplomatic dialogue helped put an end to the conflict.)	対話

diplomatic -(440 Diplomatic dialogue helped put an end to the conflict.)	外交(上)の...

help (to) do -(440 Diplomatic dialogue helped put an end to the conflict.)	doするのに役立つ

put an end to ... -(440 Diplomatic dialogue helped put an end to the conflict.)	(動)...に終止符を打つ

appoint ... -(441 Johnson was appointed as a goodwill ambassador to foster mutual understanding between the two nations.)	...を任命する

foster ... -(441 Johnson was appointed as a goodwill ambassador to foster mutual understanding between the two nations.)	...を育む

goodwill -(441 Johnson was appointed as a goodwill ambassador to foster mutual understanding between the two nations.)	親善、友好

mutual -(441 Johnson was appointed as a goodwill ambassador to foster mutual understanding between the two nations.)	相互の

build up -(442 The specialist predicts international tension will build up.)	高まる

tension -(442 The specialist predicts international tension will build up.)	緊張

nothing but ... -(443 In my opinion, permanent peace is nothing but an illusion.)	(定)...に過ぎない

ethnic -(444 Ethnic minorities struggle against prejudice, poverty, and oppression.)	(形)民族の

oppression -(444 Ethnic minorities struggle against prejudice, poverty, and oppression.)	抑圧

poverty -(444 Ethnic minorities struggle against prejudice, poverty, and oppression.)	貧困

struggle -(444 Ethnic minorities struggle against prejudice, poverty, and oppression.)	必死に戦う

discrimination -(445 We must make every effort to do away with all discrimination.)	差別

do away with ... -(445 We must make every effort to do away with all discrimination.)	...を捨てる

amendment -(447 The amendment was rejected because it didn't take racial diversity into account.)	改正案

racial ... -(447 The amendment was rejected because it didn't take racial diversity into account.)	人種の...

long for ... -(448 Needless to say, the refugees were longing for freedom.)	...を切望する

refugee -(448 Needless to say, the refugees were longing for freedom.)	難民


6 Section 37-40 se
be indifferent to ... -(449 According to a survey, three in five people today are indifferent to foreign affairs.)	...に無関心である

treaty -(450 What will become of Japan-U.S. relations if the security treaty expires?)	条約

What will become of ...? -(450 What will become of Japan-U.S. relations if the security treaty expires?)	(定)...はどうなってしまうのだろう?

expire -(450 What will become of Japan-U.S. relations if the security treaty expires?)	期限切れになる

eliminate ... -(451 Unless Japan eliminates its unfair tariffs, the U.S. will impose sanctions.)	...を取り除く

impose ... (on A) -(451 Unless Japan eliminates its unfair tariffs, the U.S. will impose sanctions.)	(Aに)..を課す

sanction -(451 Unless Japan eliminates its unfair tariffs, the U.S. will impose sanctions.)	制裁

tariff -(451 Unless Japan eliminates its unfair tariffs, the U.S. will impose sanctions.)	関税

trade -(452 Trade friction might arise between the two nations at any moment.)	貿易

at any moment -(452 Trade friction might arise between the two nations at any moment.)	(副)今にも

dispute -(453 Our top priority is to settle this dispute once and for all, so we are ready to meet them halfway.)	論争、紛争

meet ... halfway -(453 Our top priority is to settle this dispute once and for all, so we are ready to meet them halfway.)	...と妥協する

congress -(454 The federal budget was narrowly approved by Congress.)	議会

federal -(454 The federal budget was narrowly approved by Congress.)	連邦政府の

narrowly -(454 The federal budget was narrowly approved by Congress.)	(副)かろうじて

administration -(455 He argues that the administration must look for alternative sources of revenue.)	政府、政権

alternative... -(455 He argues that the administration must look for alternative sources of revenue.)	代わりの...

argue (that ~) -(455 He argues that the administration must look for alternative sources of revenue.)	(~だと)主張する

revenue -(455 He argues that the administration must look for alternative sources of revenue.)	歳入

be in favor of ... -(456 A poll shows that an overwhelming majority is in favor of the legislation.)	(動)...を支持する

poll -(456 A poll shows that an overwhelming majority is in favor of the legislation.)	世論調査

legislation -(456 A poll shows that an overwhelming majority is in favor of the legislation.)	法律

majority -(456 A poll shows that an overwhelming majority is in favor of the legislation.)	(名)過半数、大多数

overwhelming -(456 A poll shows that an overwhelming majority is in favor of the legislation.)	圧倒的な

brutal -(457 The cops are searching for clues to the brutal murder.)	残虐な

insane -(458 The man must be insane. He can't distinguish vice from virtue.)	狂気の、正気ではない

vice -(458 The man must be insane. He can't distinguish vice from virtue.)	悪いこと

virtue -(458 The man must be insane. He can't distinguish vice from virtue.)	正しいこと

correspond (to/with ...) -(459 The fingerprints left on the weapon correspond with the suspect's.)	(...に)一致する

accuse ... (of A) -(460 It took us all by surprise when the noted psychologist was accused of kidnapping.)	(Aの理由で)...を訴える

kidnapping -(460 It took us all by surprise when the noted psychologist was accused of kidnapping.)	誘拐

noted -(460 It took us all by surprise when the noted psychologist was accused of kidnapping.)	有名な、著名な

jury -(461 The jury's guilty verdict gave rise to widespread debate.)	陪審団

give rise to ... -(461 The jury's guilty verdict gave rise to widespread debate.)	...を引き起こす

verdict -(461 The jury's guilty verdict gave rise to widespread debate.)	評決

widespread -(461 The jury's guilty verdict gave rise to widespread debate.)	(形)広範囲にわたる

mercy -(462 The man pleaded for mercy, but he was sentenced to twenty years in prison for his crime.)	慈悲、情状酌量

plead (with ...) (for A) -(462 The man pleaded for mercy, but he was sentenced to twenty years in prison for his crime.)	(...に)(Aを)請願する

sentence ... (to A) -(462 The man pleaded for mercy, but he was sentenced to twenty years in prison for his crime.)	...に(Aという)判決を下す

come up -(463 The officer on duty perceived an elderly man coming up behind him.)	近づいてくる

elderly -(463 The officer on duty perceived an elderly man coming up behind him.)	(形)お年寄りの

perceive ... -(463 The officer on duty perceived an elderly man coming up behind him.)	(動)...に気付く

catch sight of ... -(464 He caught sight of a thief attempting to break into the house.)	...をちらっと見かける

witness ... -(465 The day before yesterday he witnessed a weird incident in the wilderness.)	...を目撃する

weird -(465 The day before yesterday he witnessed a weird incident in the wilderness.)	奇妙な

wilderness -(465 The day before yesterday he witnessed a weird incident in the wilderness.)	原野

in sight -(466 I became aware of someone staring at me from across the aisle, so I turned around. But there was no one in sight.)	(副)視界に

stare (at ...) -(466 I became aware of someone staring at me from across the aisle, so I turned around. But there was no one in sight.)	(...を)じっと見つめる

relief -(468 Informed of her safety, he breathed a sigh of relief.)	安堵

penetrate (...) -(469 The bullet penetrated his chest, leaving him in critical condition.)	(...を)突き抜ける

deliberately -(470 At present, it's still uncertain whether it was done deliberately or by accident.)	故意に

burn down -(471 A deli caught fire and burned down, leaving a heap of ashes.)	全焼する

warehouse -(472 All of a sudden the fireworks warehouse exploded, and it took two days to put out the blaze.)	倉庫、貯蔵庫

all of a sudden -(472 All of a sudden the fireworks warehouse exploded, and it took two days to put out the blaze.)	(副)突然

blaze -(472 All of a sudden the fireworks warehouse exploded, and it took two days to put out the blaze.)	激しい炎

put ... out -(472 All of a sudden the fireworks warehouse exploded, and it took two days to put out the blaze.)	...を消す

go off -(473 A bomb went off in a thirty-story building, and more than fifty people were seriously wounded.)	爆発する

wounded -(473 A bomb went off in a thirty-story building, and more than fifty people were seriously wounded.)	(形)負傷した

Mediterranean -(474 A cargo vessel, bound for Athens, sank in Mediterranean without a trace.)	地中海

cargo -(474 A cargo vessel, bound for Athens, sank in Mediterranean without a trace.)	(名)貨物

trace -(474 A cargo vessel, bound for Athens, sank in Mediterranean without a trace.)	跡、形跡

vessel -(474 A cargo vessel, bound for Athens, sank in Mediterranean without a trace.)	船舶

reckless -(475 The reckless men froze to death during their expedition to the Antarctic.)	無謀な

... to death -(475 The reckless men froze to death during their expedition to the Antarctic.)	(副)...の結果死ぬ

Antarctic -(475 The reckless men froze to death during their expedition to the Antarctic.)	南極(地方)

expedition -(475 The reckless men froze to death during their expedition to the Antarctic.)	探検旅行

so as to do -(476 The tragedy must be remembered so as not to be repeated.)	(副)doするために

tragedy -(476 The tragedy must be remembered so as not to be repeated.)	(名)悲劇的な出来事

insight (into ...) -(477 The exhibition offers profound insights into ancient civilization.)	(名)(...に対する)洞察、深い理解力

profound -(477 The exhibition offers profound insights into ancient civilization.)	(形)(意味・教養などが)深い

seed -(478 Giotto is credited with sowing the seeds of the Italian Renaissance.)	種、きっかけ

sow (...) -(478 Giotto is credited with sowing the seeds of the Italian Renaissance.)	...をまく、種をまく

credit A with[for] B -(478 Giotto is credited with sowing the seeds of the Italian Renaissance.)	BをAの実績として認める

mount ... -(479 Bob mounted the portrait in a fancy frame, but it was upside down.)	...を載せる

Middle Ages -(480 This magnificent cathedral dates back to the Middle Ages.)	中世(西洋史1100-1500年頃)

cathedral -(480 This magnificent cathedral dates back to the Middle Ages.)	大聖堂

magnificent -(480 This magnificent cathedral dates back to the Middle Ages.)	(形)荘厳な

sculpture -(481 Asian religions inspired him to create splendid sculptures.)	彫刻作品

splendid -(481 Asian religions inspired him to create splendid sculptures.)	素晴らしい

masterpiece -(483 The millionaire insisted on acquiring the masterpiece no matter how much it cost.)	傑作

be fluent in ... -(485 The linguist is fluent in several Chinese dialects.)	...を流暢に話す

linguist -(485 The linguist is fluent in several Chinese dialects.)	言語学者

tribe -(486 The tribe worships its ancestors and speaks its own language, which is not familiar to us.)	(名)部族

worship (...) -(486 The tribe worships its ancestors and speaks its own language, which is not familiar to us.)	(...を)崇拝する

anthropologist -(487 The anthropologist says old customs still prevail in the province.)	人類学者

prevail -(487 The anthropologist says old customs still prevail in the province.)	(動)広く行われている

wicked -(488 The wicked witch cast an evil spell on the man and turned him into a bug.)	意地の悪い

cast a spell (on ...) -(488 The wicked witch cast an evil spell on the man and turned him into a bug.)	(...に)呪文[魔法]をかける

steep -(489 They proceeded along the steep path, which was the sole access to the border.)	傾斜が急な

sole -(489 They proceeded along the steep path, which was the sole access to the border.)	唯一の

ape -(490 When a big ape emerged from the cave, they got frightened and ran away.)	猿、類人猿

emerge -(490 When a big ape emerged from the cave, they got frightened and ran away.)	現れる

frighten ... -(490 When a big ape emerged from the cave, they got frightened and ran away.)	...をおびえさせる

vanish -(491 "Believe it or not, I saw an alien and then it vanished!" "Give me a break!")	消える

7 Section 41-45 se
it won't be long before ~ -(493 It won't be long before everything is ready. In the meantime, help yourself to some snacks.)	~するまでもうすぐだ

outfit -(494 Dressed in a loud and peculiar outfit, she stood out in the crowd.)	服装、衣装

stand out -(494 Dressed in a loud and peculiar outfit, she stood out in the crowd.)	(動)目立つ、際立つ

touch ... -(495 All the guests were touched by her hospitality.)	...を感動させる

shabby -(496 Her shabby clothes were not suitable for the occasion.)	ぼろぼろの、みすぼらしい

acquaintance -(497 That topic is too intimate to share with casual acquaintances.)	知人

casual -(497 That topic is too intimate to share with casual acquaintances.)	偶然の

intimate -(497 That topic is too intimate to share with casual acquaintances.)	とても私的な

crude -(498 When Tom gets drunk, he gets crude and offensive. Stay away from him.)	下品な、卑猥な

keep[stay] away from ... -(498 When Tom gets drunk, he gets crude and offensive. Stay away from him.)	...に近づかない

offensive -(498 When Tom gets drunk, he gets crude and offensive. Stay away from him.)	(形)不快にさせる

comprehend ... -(499 He could hardly comprehend what she was implying.)	...を理解する

embarrassed -(500 Bob felt embarrassed when he was teased in front of some girls.)	どぎまぎした、恥ずかしい

tease (...) -(500 Bob felt embarrassed when he was teased in front of some girls.)	(...を)からかう

all the more -(501 His ambiguous reply made her all the more irritated.)	(副)なおさら、いっそう

ambiguous -(501 His ambiguous reply made her all the more irritated.)	曖昧な

irritate ... -(501 His ambiguous reply made her all the more irritated.)	...をいらいらさせる

blush -(502 Bob is very timid and blushes when chatting with girls.)	(動)赤面する

timid -(502 Bob is very timid and blushes when chatting with girls.)	臆病な

look down on ... -(503 Nick looks down on anyone who comes from a rural area.)	...を見下す

miserable -(504 "What's the matter, Bob? You look so miserable." "Leave me alone. It's none of your business.")	惨めな、とても不幸な

at a glance -(505 Although Bob was in disguise, I recognized him at a glance.)	(副)一目見て

in disguise -(505 Although Bob was in disguise, I recognized him at a glance.)	変装して

backward(s) -(506 "What are you chuckling about?" "Bob, you have your sweatshirt on backwards!" "Oops!")	後ろ前に

chuckle -(506 "What are you chuckling about?" "Bob, you have your sweatshirt on backwards!" "Oops!")	くすくす笑う

keep to ... -(507 He is not good at making friends and always keeps to himself.)	(動)...から離れない

belong -(508 Having found no place he felt he belonged, he was extremely uneasy and lonely.)	(動)受け入れられる場所にいる

adjust to ... -(509 I found it pretty hard to adjust to my new surroundings.)	...に順応する

surroundings -(509 I found it pretty hard to adjust to my new surroundings.)	環境

sophisticated -(510 I felt utterly out of place among those sophisticated people.)	洗練された

utterly -(510 I felt utterly out of place among those sophisticated people.)	(副)全く

be into ... -(511 To tell the truth, I don't like classical music. On the other hand, Molly is really into it.)	...にはまっている

derive A from B -(512 Bob derives please from observing insects.)	(動)BからAを引き出す

for a change -(513 "How about playing cards or something for a change?" "Sorry, I'm not up for it.")	(副)気分転換に

mature -(515 His niece is sociable and mature for her age. She could pass for twenty-something.)	(形)大人になった

niece -(515 His niece is sociable and mature for her age. She could pass for twenty-something.)	姪

pass for ... -(515 His niece is sociable and mature for her age. She could pass for twenty-something.)	...として通用する

pay attention to ... -(519 It may seem trivial to you but for me it's worth paying attention to.)	(動)...に注意を払う

as far as A is concerned -(520 As far as Bob is concerned, anything goes. By contrast, Jane is very cautious.)	Aに関しては

